KEY,English,Spanish

GLYPH_TEST, "∂ ∏ ∑ ≥ μ π"
Q_QUEST_SEARCH_X, "You have found something to search!"
GLYPH_INFINITY, "π"

DEMO_WELCOME, "TITLE{0}SomeText"

CAMPAIGN_DETAILS,"A full campaign for
Road to Legend

-Includes-"

CAMPAIGN_1_TITLE, "Rise of All Goblins"
CAMPAIGN_1_DESCRIPTION, "Leap to the aid of an unlikely friend—Splig, King of All Goblins! Is the end of all goblins truly nigh, or are you only a pawn of Splig's latest scheme?"
CAMPAIGN_1_CONTENTS, "-Includes-
2 Story Quests
2 Side Quests
6 Bonus Quests
6 Travel Events
New Perils"
CUTSCENE_1_PROLOGUE, "Your adventure begins with a note shoved under your door. Scrawled in large, unpracticed letters: \n\n[i]Hey stupid heroes! \n\nEverything is terrible! The Lair of All Goblins has been overrun by wicked things that dumb heroes like you always fight. You must come here, beat them up, and break their things to stop the unthinkable: the end of all goblins! You obviously don’t know where the Lair of All Goblins is, so I drew a map. Don’t lose it!\n\nYour fearsome master, \n\nSplig\n\n[/i]The map is rough but legible, leading to a place you clearly recognize as the Parigreth ruins. Having nothing better to do, you gather your gear and depart."
CUTSCENE_1_DEFEAT, "Two days after your assault, Splig’s horde has regrown to its previous size. For all of his alarm and fearmongering, he is now quite content to sit back and let the tribute pile up around him. \n\nBeyond the walls of a makeshift pen you lie chained and broken. On occasion, you are paraded about Splig’s throne room, dressed in tattered rags and armed with wooden swords.\n\nYou have become Splig’s finest treasure: the Fools of All Goblins."
CUTSCENE_1_VICTORY, "Upon your return, you coax your bruised bodies up the stairs to your room. Inside, you find another note. The script is large and familiar: \n\n[i]Hey stupid heroes, \n\nThis is why no one likes you. I ask for help and instead you beat up my subjects and break my things. You were supposed to STOP the End of All Goblins, not make it worse! For this, you shall be punished. Surrender your wealth, food, and selves, or the next time we meet, I won’t be so nice.\n\nYour REALLY fearsome master,\n\nSplig\n\nKing of All Goblins[/i]"
CAMPAIGN_1_SKIPPED_TUTORIAL,"[i]A brief investigation into Splig's message served little purpose, though the goblin king appears to have stepped up his efforts to prevent the purported ""end of all goblins."" At his request, goblin tribes from all corners of the realm are on the move, gathering in the foothills northwest of Tamalir.\n\nYour modestly experienced party, laden with a modest sum of gold, arrives on the outskirts of Tamalir, one of the greatest cities in Terrinoth.[/i]\n\nPlayers should travel to Tamalir to purchase better equipment or depart on a quest to gather more fame and fortune!"

CAMPAIGN_2_TITLE, "Kindred Fire"
CAMPAIGN_2_DESCRIPTION, "Lord Merick Farrow is burning with unquenchable wrath! Hurry to discover the reason for the mad mage's rampage, for he leaves only ash in his wake."
CAMPAIGN_2_CONTENTS, "8 New Story Quests!
2 New Side Quests!
All New Travel Events & Perils!
Access to all side quests provided\nby the products in your collection!"
CAMPAIGN_2_TEASER_1,"Villages and towns lie in ruin. \nThe mage, Lord Merick Farrow, is responsible."
CAMPAIGN_2_TEASER_2,"He cares only for his quest. \nHis brother, Sir Alric, is missing…"
CAMPAIGN_2_TEASER_3,"[i]Kindred Fire[/i] is a campaign expansion for [i]Road to Legend[/i], setting heroes upon the trail of Merick Farrow's devastation. The expansion features all new Story and Side Quests, new Travel Events and Perils, and access to all Side Quests provided by products in your collection!"
CUTSCENE_2_PROLOGUE, "Flakes of soft ash fall from the sky and coat the ground as you walk through a small village. You were dispatched to investigate commotion in the settlement, a stepping stone on the road to Castle Thelys. You thought to deal with bandits or to deliver the village from a goblin threat, but you found something else instead. \n\nThe village lies in silent ruin. Not a single building stands as more than a twisted pile of glowing ember. Scorch marks of arcane fire decorate the area, and of the village's population there is no sign. \n\nA set of footprints lies within the falling ash, starting in the village center and leading out into the nearby hills. Whether they belong to the perpetrator or a witness, this appears to be your only lead."
CUTSCENE_2_DEFEAT,"You stand upon a hill outside a fortress in flames, watching as Sir Alric leads his army in a devastating attack. Though offering a valiant struggle, the defenders have fallen back time and again, now barring themselves behind the gates of the keep and praying that reinforcements arrive soon. \n\nYou look to your companions. A set of glowing red eyes opens just above their own, and you feel the prickling heat of Sir Alric's gaze as your master's silent command comes forth. You signal your forces to march down the hill toward the keep. \n\nIndeed, reinforcements have arrived."
CUTSCENE_2_VICTORY,"Each of the monstrosities lies unmoving, and there remains no trace of Sir Alric's red-eyed gaze within them. The fallen knight himself kneels before you. His armor battered and sword broken, he attempts to rise as the fierce crimson light within his eyes softens to a pale glow.\n\nHe falls, growing silent and still. With a final exhalation, a thin black mist rises from his armor for a few moments, evaporating into the air. \n\nWhen it is done, Sir Alric is well and truly gone; all that remains is a suit of cold armor and a deep sense of peace and finality. Perhaps, now, the knight has found his rest."

CAMPAIGN_CONFIRM_TRAVEL,"Confirm Travel?"
TEST_TRAVEL_EVENT,"Test travel event displayed."
ERROR_NO_TRAVEL_EVENT,"No valid travel events"

COLLECTION_TITLESCREEN_PROMPT, "Before starting a new campaign, you will need to add your physical Descent products to the [FFE72CFF]Collection Manager[-], \n\n Select the [FFE72CFF]Collection[-] button to add your products."
COLLECTION_CORESET_PROMPT, "The core set of Descent Second Edition is required to play campaigns in Road to Legend. \n\n Select the core set and then select 'Add to Collection'."
COLLECTION_CONGRATULATIONS, "You have added your first Descent product to the collection manager! \n\n You are now ready to return to the main menu and start your first campaign."
COLLECTION_CONGRATULATIONS_TITLE, "[FFE72CFF]congratulations![-]"
COLLECTION_HELPPAGE_1_PAGETITLE,"[FFE72CFF]collection manager[-]"
COLLECTION_HELPPAGE_1_PAGETEXT, "Welcome to the [i]Road to Legend[/i] collection manager! \n\n [i]Road to Legend[/i] generates quest content based on the product in your personal collection. The more products you have in your collection, the more content you’ll unlock for [i]Road to Legend[/i]!"
COLLECTION_HELPPAGE_2_PAGETITLE,"[FFE72CFF]collection meter[-]"
COLLECTION_HELPPAGE_2_PAGETEXT, "The collection meter is a gauge of how much your [i]Descent: Journeys in the Dark Second Edition[/i] collection is contributing to your [i]Road to Legend[/i] experience. The fuller your meter, the more diverse and expansive your [i]Road to Legend[/i] experience will be!"
COLLECTION_INFO_PAGETEXT, "The collection manager allows you to add and remove Descent: Journeys in the Dark Second Edition products to your Road to Legend app. Select a product in the library to add it to your personal collection. Each product added will increase the content in your digital experience. \n\nThe meter at the bottom of the screen is a gauge of how much Road to Legend content is available to you during your games. The larger your collection, the fuller your meter, and the more diverse and expansive your Road to Legend experience will be."
COLLECTION_TITLE, "[FFE72CFF]collection manager[-]"

PRODUCT_DJ01_TITLE, "Descent: Journeys in the Dark"
PRODUCT_DJ01_DESCRIPTION, "As the essential core experience, the Descent: Journeys in the Dark Second Edition base game provides the heroes with everything they need to begin a Road to Legend campaign."
PRODUCT_DJ01_CONTENTS, "Digital content unlocked:\n
• 8 heroes
• 9 monster groups
• 8 hero classes
• 34 shop items
• 4 conditions
• 8 side quests"

PRODUCT_DJ03_TITLE,"Lair of the Wyrm"
PRODUCT_DJ03_DESCRIPTION, "Add a little heat to your Road to Legend campaign by adding the Lair of the Wyrm expansion to your collection!"
PRODUCT_DJ03_CONTENTS, "Digital content unlocked:\n
• 2 heroes
• 2 monster groups
• 2 hero classes
• 9 shop items
• 1 condition
• 1 side quest: ""Temple of the Elemental Dragon"""

PRODUCT_DJ04_TITLE,"Labyrinth of Ruin"
PRODUCT_DJ04_DESCRIPTION, "Break the curse in your Road to Legend campaign by adding the Labyrinth of Ruin expansion to your collection!"
PRODUCT_DJ04_CONTENTS, "Digital content unlocked:\n
• 4 heroes
• 4 monster groups
• 4 hero classes
• 21 shop items
• 1 condition
• 1 side quest: ""Demon Hive"""

PRODUCT_DJ05_TITLE,"The Trollfens"
PRODUCT_DJ05_DESCRIPTION, "Fight the infection in your Road to Legend campaign by adding The Trollfens expansion to your collection!"
PRODUCT_DJ05_CONTENTS, "Digital content unlocked:\n
• 2 heroes
• 2 monster groups
• 2 hero classes
• 13 shop items
• 1 condition
• 1 side quest: ""The Troll's Treasure"""

PRODUCT_DJ07_TITLE,"Shadow of Nerekhall"
PRODUCT_DJ07_DESCRIPTION, "Save the city in your Road to Legend campaign by adding the Shadow of Nerekhall expansion to your collection!"
PRODUCT_DJ07_CONTENTS, "Digital content unlocked:\n
• 4 heroes
• 4 monster groups
• 4 hero classes
• 21 shop items
• 1 condition
• 1 side quest: ""The Worst Exotic Merriod Inn"""

PRODUCT_DJ21_TITLE,"Manor of Ravens"
